response_id,status,language,sessionid,user_agent,tags,ip_address,longitude,latitude,country,city,state_region,postal,which_higher_education_institution_do_you_or_did_you_study_at?,what_is_your_current_year_of_study_as_of_2025?,what_will_be_your_highest_qualification_when_you_graduate?,which_of_the_following_best_describes_the_main_subject_that_you_are_studying?,please_indicate_your_nationality,what_is_your_gender?,which_of_these_statements_best_describes_your_current_perception_of_the_organisation_as_an_employer?,types_of_roles_available:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),career_progression_and_development:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),compensation_and_benefits:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),work-life_balance_and_culture:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),application_and_interview_process:what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),other_-_write_in_(required):what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3),other_-_write_in_(required):what_do_you_wish_to_learn_more_about_regarding_the_organisation_as_an_employer?_(pick_3)__1,"on_a_scale_from_1_to_10_(1_–_low,_10_–_high),_how_would_you_rate_the_attractiveness_of_the_organisation_as_an_employer?",which_of_these_factors_would_most_motivate_you_to_apply_for_a_position_at_the_organisation?,other_-_write_in_(required):which_of_these_factors_would_most_motivate_you_to_apply_for_a_position_at_the_organisation?,student_interest_profile,time_taken,student_segment,rating_col,year_group,nationality_group,gender_group,field_group,perception_group,motivation_group,score_group,segment
50,Complete,English,1757056281_68ba8d1964a734.45845891,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,202.161.35.28,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Meaningful work impact,,"Career progression and development, Compensation and benefits, Work-life balance and culture",39111.73333333333,Late Talent (Graduate Seekers),7.0,Year 4,Singaporean/PR,Female,Economics,Unfamiliar/No Opinion,Meaningful Work Impact,Medium (5-7),Disengaged/Non-Target
51,Complete,English,1757056306_68ba8d329e9961.89560775,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.122.108,-97.821998596191,37.750999450684,United States,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,9.0,Compensation package,,"Compensation and benefits, Work-life balance and culture, Application and interview process",2.283333333333333,Late Talent (Graduate Seekers),9.0,Year 4,Singaporean/PR,Female,Economics,Familiar & Positive,Compensation Package,High (8-10),Other Segment
52,Complete,English,1757056432_68ba8db0b0bbd1.81304697,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.234.53.94,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Career growth opportunities,,"Types of roles available, Career progression and development, Work-life balance and culture",0.85,Late Talent (Graduate Seekers),8.0,Year 4,Singaporean/PR,Male,Economics,Positive but Uninformed,Career Growth Opportunities,High (8-10),High Potential but Uninformed
53,Complete,English,1757056508_68ba8dfc67ea19.97725711,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.56.69.163,103.80139923096,1.3673000335693,Singapore,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",1.9833333333333334,Late Talent (Graduate Seekers),8.0,Year 4,Singaporean/PR,Male,Economics,Recognize but Unclear,Career Growth Opportunities,High (8-10),High Potential but Uninformed
56,Complete,English,1757056937_68ba8fa9da0b28.56477914,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.48.131,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,6.0,Meaningful work impact,,"Types of roles available, Career progression and development, Compensation and benefits",1.35,Late Talent (Graduate Seekers),6.0,Year 4,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
57,Complete,English,1757056942_68ba8fae6464c3.76808118,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.234.50.115,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,5.0,Learning and development,,"Types of roles available, Career progression and development, Work-life balance and culture",1.25,Late Talent (Graduate Seekers),5.0,Year 4,Singaporean/PR,Female,Business/Management,Recognize but Unclear,Learning & Development,Medium (5-7),High Potential but Uninformed
58,Complete,English,1757057082_68ba903a7d2138.36444735,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Work-life balance,,"Types of roles available, Career progression and development, Work-life balance and culture",4203.5,Late Talent (Graduate Seekers),8.0,Year 3,Singaporean/PR,Female,Business/Management,Familiar & Positive,Work-Life Balance,High (8-10),Career-Driven Business Students
60,Complete,English,1757057576_68ba9228c57988.38996066,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.27,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5.0,Work-life balance,,"Types of roles available, Compensation and benefits, Work-life balance and culture",1.8333333333333333,Early Talent (Internship Seekers),5.0,Year 2,Singaporean/PR,Female,Medicine/Health,Positive but Uninformed,Work-Life Balance,Medium (5-7),High Potential but Uninformed
61,Complete,English,1757057897_68ba9369b02379.02681336,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,6.0,Career growth opportunities,,"Types of roles available, Career progression and development, Work-life balance and culture",186.1,Early Talent (Internship Seekers),6.0,Year 2,Singaporean/PR,Female,Business/Management,Familiar & Positive,Career Growth Opportunities,Medium (5-7),Other Segment
62,Complete,English,1757057896_68ba9368ae48d4.56240433,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,,,Application and interview process,,,4.0,Work-life balance,,"Types of roles available, Career progression and development, Application and interview process",1.7,Early Talent (Internship Seekers),4.0,Year 2,Singaporean/PR,Female,Business/Management,Unfamiliar/No Opinion,Work-Life Balance,Low (1-4),Disengaged/Non-Target
63,Complete,English,1757058518_68ba95d6dd2350.30458166,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Meaningful work impact,,"Types of roles available, Career progression and development, Compensation and benefits",1.1166666666666667,Late Talent (Graduate Seekers),7.0,Year 3,Singaporean/PR,Female,Business/Management,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
64,Complete,English,1757058535_68ba95e7153502.88036321,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.56.102.11,103.88590240479,1.3552000522614,Singapore,Singapore,0,53.0,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,,"Types of roles available, Career progression and development, Application and interview process",0.85,Late Talent (Graduate Seekers),8.0,Year 3,Singaporean/PR,Female,Business/Management,Familiar & Positive,Meaningful Work Impact,High (8-10),Career-Driven Business Students
65,Complete,English,1757058824_68ba970846a311.64426194,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,122.11.245.16,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Meaningful work impact,,"Types of roles available, Career progression and development, Compensation and benefits",1.0833333333333333,Early Talent (Internship Seekers),9.0,Year 2,Singaporean/PR,Male,Business/Management,Familiar & Positive,Meaningful Work Impact,High (8-10),Career-Driven Business Students
67,Complete,English,1757059206_68ba9886884065.95635060,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,111.65.33.159,103.83670043945,1.3652000427246,Singapore,Singapore,0,57.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,6.0,Meaningful work impact,,"Types of roles available, Career progression and development, Application and interview process",0.8,Late Talent (Graduate Seekers),6.0,Year 4,Singaporean/PR,Male,Social Sciences,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
68,Complete,English,1757059429_68ba99654a8c96.53192895,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.16,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,,"Types of roles available, Career progression and development, Application and interview process",1.7333333333333334,Late Talent (Graduate Seekers),8.0,Year 4,Singaporean/PR,Female,Business/Management,Familiar & Positive,Meaningful Work Impact,High (8-10),Career-Driven Business Students
69,Complete,English,1757059823_68ba9aef452174.84327629,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.119 Mobile/15E148 Safari/604.1",,119.56.71.55,103.80139923096,1.3673000335693,Singapore,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Work-life balance,,"Types of roles available, Career progression and development, Work-life balance and culture",2847.733333333333,Late Talent (Graduate Seekers),8.0,Year 4,Singaporean/PR,Female,IT/Tech,Recognize but Unclear,Work-Life Balance,High (8-10),High Potential but Uninformed
71,Complete,English,1757060098_68ba9c02267d58.64220687,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.234.18.78,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Meaningful work impact,,"Types of roles available, Career progression and development, Compensation and benefits",1.6166666666666667,Late Talent (Graduate Seekers),8.0,Year 4,Singaporean/PR,Male,IT/Tech,Positive but Uninformed,Meaningful Work Impact,High (8-10),High Potential but Uninformed
72,Complete,English,1757060095_68ba9bffa7dc01.58389923,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.27,103.8637008667,1.3595999479294,Singapore,Singapore,0,55.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,Compensation and benefits,,,,,6.0,Career growth opportunities,,"Types of roles available, Career progression and development, Compensation and benefits",546.85,Late Talent (Graduate Seekers),6.0,Year 4,Singaporean/PR,Male,IT/Tech,Unfamiliar/No Opinion,Career Growth Opportunities,Medium (5-7),Disengaged/Non-Target
73,Complete,English,1757060127_68ba9c1fa8ea70.51980889,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.56.96.24,103.87239837646,1.3343000411987,Singapore,Singapore,0,34.0,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Job security,,"Types of roles available, Career progression and development, Compensation and benefits",1.15,Late Talent (Graduate Seekers),7.0,Year 4,Singaporean/PR,Male,IT/Tech,Positive but Uninformed,Job Security,Medium (5-7),High Potential but Uninformed
74,Complete,English,1757060136_68ba9c28b3d3f2.23020398,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.10.245,103.85540008545,1.3035999536514,Singapore,Singapore,0,18.0,Singapore Management University (SMU),Year 3,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7.0,Meaningful work impact,,"Types of roles available, Career progression and development, Application and interview process",1.0833333333333333,Late Talent (Graduate Seekers),7.0,Year 3,Singaporean/PR,Male,IT/Tech,Positive but Uninformed,Meaningful Work Impact,Medium (5-7),High Potential but Uninformed
75,Complete,English,1757060461_68ba9d6d641a08.26710243,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.122.109,-97.821998596191,37.750999450684,United States,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Meaningful work impact,,"Career progression and development, Compensation and benefits, Work-life balance and culture",351.5833333333333,Late Talent (Graduate Seekers),7.0,Year 4,Singaporean/PR,Male,Business/Management,Familiar & Positive,Meaningful Work Impact,Medium (5-7),Other Segment
