,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
61,7.0,Medium (5-7),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
62,7.0,Medium (5-7),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
64,7.0,Medium (5-7),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
67,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
69,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
70,4.0,Low (1-4),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
72,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
74,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
77,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
78,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
86,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
99,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
100,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
101,4.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
104,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
106,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
107,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
108,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
109,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
110,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
111,8.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
112,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
113,4.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
114,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
115,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
116,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
117,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
119,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
120,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
121,8.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
122,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
123,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
124,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
125,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
126,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
127,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
128,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
130,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
131,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
132,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
138,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
140,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
141,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
142,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
144,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
145,4.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
146,10.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
147,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
150,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
151,9.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
155,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
156,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
158,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
159,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
160,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
161,10.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
162,3.0,Low (1-4),National Institute of Education (NIE),I’m not familiar enough with the organisation to form a solid opinion
164,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
165,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
168,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
169,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
172,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
173,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
174,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
175,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
177,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
178,3.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
179,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
180,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
182,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
183,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
184,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
185,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
186,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
187,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
191,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
193,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
194,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
195,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
197,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
198,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
200,5.0,Medium (5-7),Singapore Institute of Technology (SIT),I’m not familiar enough with the organisation to form a solid opinion
201,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
202,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
203,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
204,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
205,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
206,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
207,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
208,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
209,8.0,High (8-10),Singapore Institute of Technology (SIT),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
210,6.0,Medium (5-7),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
211,6.0,Medium (5-7),James Cook University Singapore (JCU),"I recognise the organisation by name, but don’t have a clear impression of them"
212,8.0,High (8-10),Yale-NUS College,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
213,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
214,7.0,Medium (5-7),Singapore Institute of Technology (SIT),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
215,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
216,6.0,Medium (5-7),LASALLE College of the Arts (LASALLE),"I recognise the organisation by name, but don’t have a clear impression of them"
217,7.0,Medium (5-7),Nanyang Academy of Fine Arts (NAFA),"I recognise the organisation by name, but don’t have a clear impression of them"
218,5.0,Medium (5-7),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
220,8.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
221,5.0,Medium (5-7),James Cook University Singapore (JCU),I’m familiar with the organisation and would consider them as a potential employer
222,7.0,Medium (5-7),Curtin University Singapore,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
223,6.0,Medium (5-7),SIM Global Education,I’m familiar with the organisation and would consider them as a potential employer
224,9.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
225,6.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
226,4.0,Low (1-4),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
227,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
228,7.0,Medium (5-7),James Cook University Singapore (JCU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
229,10.0,High (8-10),James Cook University Singapore (JCU),I’m familiar with the organisation and would consider them as a potential employer
230,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
232,5.0,Medium (5-7),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
233,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
234,6.0,Medium (5-7),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
235,7.0,Medium (5-7),Singapore Management University (SMU),"I recognise the organisation by name, but don’t have a clear impression of them"
236,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
246,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
247,7.0,Medium (5-7),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
248,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
249,6.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
250,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
251,3.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
252,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
254,4.0,Low (1-4),Others,I’m not familiar enough with the organisation to form a solid opinion
255,6.0,Medium (5-7),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
256,2.0,Low (1-4),Others,"I recognise the organisation by name, but don’t have a clear impression of them"
257,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
258,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
259,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
260,5.0,Medium (5-7),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
263,9.0,High (8-10),National Institute of Education (NIE),I’m familiar with the organisation and would consider them as a potential employer
266,5.0,Medium (5-7),James Cook University Singapore (JCU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
267,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
268,10.0,High (8-10),Nanyang Academy of Fine Arts (NAFA),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
269,3.0,Low (1-4),National Institute of Education (NIE),"I recognise the organisation by name, but don’t have a clear impression of them"
270,9.0,High (8-10),Johns Hopkins Singapore (JHS),I’m familiar with the organisation and would consider them as a potential employer
271,8.0,High (8-10),Yale-NUS College,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
272,6.0,Medium (5-7),LASALLE College of the Arts (LASALLE),I’m familiar with the organisation and would consider them as a potential employer
274,9.0,High (8-10),Yale-NUS College,I’m familiar with the organisation and would consider them as a potential employer
275,7.0,Medium (5-7),Yale-NUS College,"I recognise the organisation by name, but don’t have a clear impression of them"
276,3.0,Low (1-4),LASALLE College of the Arts (LASALLE),I’m familiar with the organisation and would consider them as a potential employer
277,5.0,Medium (5-7),Embry-Riddle Aeronautical University Singapore,I’m familiar with the organisation and would consider them as a potential employer
278,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
279,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
280,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
281,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
282,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
283,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
284,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
285,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
286,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
287,5.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
288,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
289,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
290,1.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
291,3.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
292,10.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
293,10.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
294,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
295,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
296,8.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
297,8.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
298,9.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
299,9.0,High (8-10),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
300,10.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
301,9.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
302,10.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
303,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
304,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
305,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
306,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
307,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
308,6.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
309,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
310,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
311,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
312,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
313,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
314,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
315,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
316,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
317,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
318,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
319,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
320,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
321,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
323,8.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
324,5.0,Medium (5-7),LASALLE College of the Arts (LASALLE),"I recognise the organisation by name, but don’t have a clear impression of them"
326,3.0,Low (1-4),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
327,1.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
328,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
329,4.0,Low (1-4),Singapore University of Technology and Design (SUTD),I’m not familiar enough with the organisation to form a solid opinion
330,6.0,Medium (5-7),National Institute of Education (NIE),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
331,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
332,1.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
333,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
334,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
335,10.0,High (8-10),James Cook University Singapore (JCU),I’m not familiar enough with the organisation to form a solid opinion
336,6.0,Medium (5-7),Singapore Management University (SMU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
337,1.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
338,2.0,Low (1-4),LASALLE College of the Arts (LASALLE),I’m not familiar enough with the organisation to form a solid opinion
339,10.0,High (8-10),INSEAD Asia,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
340,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
341,2.0,Low (1-4),Others,I’m not familiar enough with the organisation to form a solid opinion
342,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
343,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
344,3.0,Low (1-4),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
345,3.0,Low (1-4),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
346,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
347,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
349,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
350,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
352,6.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
353,7.0,Medium (5-7),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
354,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
355,3.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
356,4.0,Low (1-4),PSB Academy,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
357,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
358,4.0,Low (1-4),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
359,2.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
360,2.0,Low (1-4),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
361,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
363,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
364,5.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
