Response ID,Time Started,Date Submitted,Status,Language,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying? ,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?   ",Which of these factors would most motivate you to apply for a position at the organisation?  ,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?  
32,"Sep 4, 2025 3:18:25 PM","Sep 4, 2025 3:19:23 PM",Complete,English,1756970303_68b93d3f80e649.57809745,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.192.67,103.8554001,1.303599954,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7,Career growth opportunities,
33,"Sep 4, 2025 3:51:59 PM","Sep 4, 2025 3:52:05 PM",Partial,English,1756972311_68b945173bef83.99213092,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.195.67,103.7610016,1.36559999,Singapore,Singapore,0,66,,,,,,,,,,,,,,,,,
34,"Sep 4, 2025 5:33:56 PM","Sep 4, 2025 5:33:56 PM",Partial,English,1756978434_68b95d02a94550.45823528,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.180.14,103.6498032,1.315400004,Singapore,Tuas,0,63,,,,,,,,,,,,,,,,,
35,"Sep 5, 2025 12:38:26 AM","Oct 16, 2025 1:56:34 PM",Complete,English,1757003900_68b9c07ce85fc0.71614211,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",,155.69.180.10,103.6498032,1.315400004,Singapore,Tuas,0,63,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,5,Meaningful work impact,
36,"Sep 5, 2025 2:34:27 PM","Sep 5, 2025 2:36:52 PM",Complete,English,1757054064_68ba84705ba808.74998630,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,117.20.154.60,103.7472992,1.38499999,Singapore,Singapore,0,68,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8,Meaningful work impact,
37,"Sep 5, 2025 2:40:17 PM","Sep 5, 2025 2:41:23 PM",Disqualified,English,1757054412_68ba85cc32c720.88296394,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",,202.161.35.27,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Others,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,,,,,,,,,,,
38,"Sep 5, 2025 2:40:47 PM","Sep 5, 2025 2:41:13 PM",Disqualified,English,1757054443_68ba85eb746e83.21785187,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,111.65.45.52,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Others,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,,,,,,,,,,,
39,"Sep 5, 2025 2:41:45 PM","Sep 5, 2025 2:43:13 PM",Complete,English,1757054495_68ba861f044d13.26814099,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,202.161.35.28,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,10,Career growth opportunities,
40,"Sep 5, 2025 2:41:58 PM","Sep 6, 2025 2:58:26 PM",Complete,English,1757054508_68ba862cca4442.72035803,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",,119.56.106.197,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5,Meaningful work impact,
41,"Sep 5, 2025 2:43:06 PM","Sep 5, 2025 3:02:44 PM",Disqualified,English,1757054582_68ba867637cfb3.68653787,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Others,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,
42,"Sep 5, 2025 2:43:17 PM","Sep 5, 2025 2:43:17 PM",Partial,English,1757054592_68ba8680813383.92403172,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.56.97.76,103.8565979,1.324800014,Singapore,Singapore,0,32,,,,,,,,,,,,,,,,,
43,"Sep 5, 2025 2:43:30 PM","Sep 5, 2025 2:44:06 PM",Disqualified,English,1757054600_68ba868857fe01.73012487,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",,202.161.35.16,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)","Non-Singaporean, with long-term residence status",Male,,,,,,,,,,,
44,"Sep 5, 2025 2:47:09 PM","Sep 5, 2025 2:47:09 PM",Partial,English,1757054823_68ba8767ddd260.71579603,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,122.11.248.245,103.8554001,1.303599954,Singapore,Singapore,0,18,,,,,,,,,,,,,,,,,
45,"Sep 5, 2025 2:51:11 PM","Sep 5, 2025 2:52:08 PM",Complete,English,1757055067_68ba885be36913.67354303,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,122.11.248.245,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3,Work-life balance,
46,"Sep 5, 2025 2:53:28 PM","Sep 5, 2025 4:21:26 PM",Complete,English,1757055204_68ba88e43373c4.01280279,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,7,Meaningful work impact,
47,"Sep 5, 2025 2:56:07 PM","Sep 5, 2025 2:56:39 PM",Disqualified,English,1757055362_68ba8982405bf1.39925703,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",,119.56.75.41,103.8013992,1.367300034,Singapore,,,,Singapore Management University (SMU),Others,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,,,,,,,,,,,
48,"Sep 5, 2025 2:56:14 PM","Sep 5, 2025 2:57:45 PM",Complete,English,1757055370_68ba898a59c335.18410574,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,119.234.52.100,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7,Meaningful work impact,
49,"Sep 5, 2025 3:11:22 PM","Sep 5, 2025 3:11:53 PM",Disqualified,English,1757056279_68ba8d173cd1d6.10601097,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.234.53.94,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Others,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,,,,,,,,,,,
50,"Sep 5, 2025 3:11:26 PM","Oct 2, 2025 7:03:10 PM",Complete,English,1757056281_68ba8d1964a734.45845891,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,202.161.35.28,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7,Meaningful work impact,
51,"Sep 5, 2025 3:11:51 PM","Sep 5, 2025 3:14:08 PM",Complete,English,1757056306_68ba8d329e9961.89560775,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.122.108,-97.8219986,37.75099945,United States,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,9,Compensation package,
52,"Sep 5, 2025 3:13:55 PM","Sep 5, 2025 3:14:46 PM",Complete,English,1757056432_68ba8db0b0bbd1.81304697,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.234.53.94,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8,Career growth opportunities,
53,"Sep 5, 2025 3:15:21 PM","Sep 5, 2025 3:17:20 PM",Complete,English,1757056508_68ba8dfc67ea19.97725711,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.56.69.163,103.8013992,1.367300034,Singapore,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8,Career growth opportunities,
54,"Sep 5, 2025 3:19:17 PM","Sep 5, 2025 3:19:38 PM",Disqualified,English,1757056750_68ba8eeef37237.76641020,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/139.0.7258.76 Mobile/15E148 Safari/604.1",,202.161.35.25,103.8637009,1.359599948,Singapore,Singapore,0,55,LASALLE College of the Arts (LASALLE),Year 3,Bachelor's Degree,Economics,"Non-Singaporean, no long-term residence status",Male,,,,,,,,,,,
55,"Sep 5, 2025 3:19:26 PM","Sep 5, 2025 3:19:55 PM",Disqualified,English,1757056761_68ba8ef9a45aa7.19631187,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.25,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 1,Master's Degree,English,"Non-Singaporean, with long-term residence status",Female,,,,,,,,,,,
56,"Sep 5, 2025 3:22:22 PM","Sep 5, 2025 3:23:43 PM",Complete,English,1757056937_68ba8fa9da0b28.56477914,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.48.131,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,6,Meaningful work impact,
57,"Sep 5, 2025 3:22:38 PM","Sep 5, 2025 3:23:53 PM",Complete,English,1757056942_68ba8fae6464c3.76808118,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.234.50.115,103.8554001,1.303599954,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,5,Learning and development,
58,"Sep 5, 2025 3:24:49 PM","Sep 8, 2025 1:28:19 PM",Complete,English,1757057082_68ba903a7d2138.36444735,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,8,Work-life balance,
59,"Sep 5, 2025 3:30:23 PM","Sep 5, 2025 3:31:17 PM",Disqualified,English,1757057403_68ba917be6ad80.76346127,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,111.65.36.158,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,IT and Technology,"Non-Singaporean, with long-term residence status",Female,,,,,,,,,,,
60,"Sep 5, 2025 3:33:01 PM","Sep 5, 2025 3:34:51 PM",Complete,English,1757057576_68ba9228c57988.38996066,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.27,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5,Work-life balance,
61,"Sep 5, 2025 3:38:21 PM","Sep 5, 2025 6:44:27 PM",Complete,English,1757057897_68ba9369b02379.02681336,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,6,Career growth opportunities,
62,"Sep 5, 2025 3:38:19 PM","Sep 5, 2025 3:40:01 PM",Complete,English,1757057896_68ba9368ae48d4.56240433,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,202.161.35.15,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,,,Application and interview process,,,4,Work-life balance,
63,"Sep 5, 2025 3:49:01 PM","Sep 5, 2025 3:50:08 PM",Complete,English,1757058518_68ba95d6dd2350.30458166,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637009,1.359599948,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Meaningful work impact,
64,"Sep 5, 2025 3:49:00 PM","Sep 5, 2025 3:49:51 PM",Complete,English,1757058535_68ba95e7153502.88036321,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.56.102.11,103.8859024,1.355200052,Singapore,Singapore,0,53,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8,Meaningful work impact,
